,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1556,better,redveil,3SSYNtpoHkaGs4TYux2KGH,spotify:track:3SSYNtpoHkaGs4TYux2KGH,3.17,44,0.39,0.852,7,-6.787,0.374,0.0139,2.71e-05,0.41,0.507,148.104
1557,lost souls (with Brent Faiyaz),Baby Keem,02rdXe0KhMe8p6ZHzYtuw0,spotify:track:02rdXe0KhMe8p6ZHzYtuw0,4.5,78,0.649,0.347,1,-7.67,0.404,0.485,3.24e-05,0.154,0.176,169.994
1558,Hngover,AG Club,6TieEd9BS8NdArngd4AvtA,spotify:track:6TieEd9BS8NdArngd4AvtA,4.49,53,0.55,0.665,1,-8.688,0.269,0.462,2.63e-05,0.158,0.146,79.845
1559,lifeline,ericdoa,2wPQ6FDiPAhmhO92JPpxHd,spotify:track:2wPQ6FDiPAhmhO92JPpxHd,2.75,8,0.602,0.874,1,-5.479,0.0663,0.0015,0.0,0.289,0.619,148.032
1560,Beach House,6 Dogs,30c5HZ7eGjrJ4owO2Q2pum,spotify:track:30c5HZ7eGjrJ4owO2Q2pum,2.09,40,0.82,0.455,1,-8.278,0.108,0.572,0.00144,0.112,0.445,132.023
1561,I DON'T KNOW,The Kid LAROI,7azFd0yynobtMV5yIlG5H0,spotify:track:7azFd0yynobtMV5yIlG5H0,2.24,56,0.53,0.673,0,-6.851,0.0584,0.0319,0.0,0.148,0.406,160.886
1562,OCEANSIDE,Thouxanbanfauni,25g2OUWQkXuCvReElayUgu,spotify:track:25g2OUWQkXuCvReElayUgu,5.68,36,0.341,0.553,6,-7.851,0.1,0.00696,0.0,0.113,0.382,75.015
1563,Paris to Tokyo,Fivio Foreign,5QvW5lK6mkfTegpAK9JOO7,spotify:track:5QvW5lK6mkfTegpAK9JOO7,2.18,72,0.642,0.787,5,-6.389,0.17,0.0185,0.0,0.288,0.406,146.733
1564,Day 'N' Nite (nightmare),Kid Cudi,5wfllwdjglyQislkskYLBv,spotify:track:5wfllwdjglyQislkskYLBv,3.69,72,0.881,0.441,11,-6.278,0.0646,0.48,9.08e-06,0.119,0.804,138.014
1565,Rich And Blind,Juice WRLD,6QNFQJKlZUKr0xlGZ74CZJ,spotify:track:6QNFQJKlZUKr0xlGZ74CZJ,3.81,68,0.638,0.624,10,-5.37,0.0798,0.0102,0.0,0.0944,0.445,159.937
