,Unnamed: 0,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Cluster,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8
1133,1134,Too Fast,Sonder,42QRyJd5x6e2TFR1S41g2p,spotify:track:42QRyJd5x6e2TFR1S41g2p,5.13,62,0.395,0.33,4,-10.924,0.0408,0.316,1.89e-05,0.268,0.102,98.813,4,2.204643673084842,-1.6056893925878901,-0.25173846759429946,1.4332739929883602,-0.12232406647712218,-0.7927523257351543,0.10054836335197147,-0.41960434744528274
1134,1135,PROBLEMS,BEAM,6gNK1dO4rwFiG2qcTosYn8,spotify:track:6gNK1dO4rwFiG2qcTosYn8,2.23,0,0.766,0.771,11,-5.674,0.141,0.0628,3.37e-06,0.202,0.321,114.77,5,-1.0806797701443123,0.2547385403483021,1.0777027176599068,-0.24384264818046641,1.666452852076654,0.3656225123718818,-0.8436934839703807,-0.7700610732366194
1135,1136,The River,Chris Loco,6zYgqmymL6WBZOJz3VVN9H,spotify:track:6zYgqmymL6WBZOJz3VVN9H,3.93,0,0.658,0.586,4,-9.45,0.0385,0.0666,2.03e-05,0.109,0.248,112.995,5,0.4661302010702264,-0.5908321457860415,0.5761547039861017,-1.0491858479857854,0.4668751166358018,-0.8061557546808257,-0.3448175358031674,-0.7462853628249928
1136,1137,Babylon (feat. Denzel Curry),Ekali,3Z3ANEnfT5iSJrNFJFHLQO,spotify:track:3Z3ANEnfT5iSJrNFJFHLQO,3.49,40,0.736,0.891,0,-4.342,0.0586,0.0374,3.68e-06,0.347,0.0726,130.055,7,-1.6901010101178233,-1.2223566847131067,0.8781921063047236,0.263616390197305,-0.8398306053832953,-1.1795505541982076,0.5888602036697753,-0.5065236975451926
1137,1138,Psycho (feat. Ty Dolla $ign),Post Malone,7wrDRQgHlvDnimrRHfQZxt,spotify:track:7wrDRQgHlvDnimrRHfQZxt,3.68,0,0.748,0.546,8,-8.134,0.106,0.59,0.0,0.112,0.413,140.005,6,0.9589605460876834,0.5481050743096448,0.3369148300315645,-0.7245806932981474,0.3582674016948079,0.4686232057399764,-0.8824011099052065,-0.16584869627958507
1138,1139,Wanted You (feat. Lil Uzi Vert),NAV,1gjxuBurykxzaqbDaqKKYU,spotify:track:1gjxuBurykxzaqbDaqKKYU,3.8,0,0.797,0.721,9,-4.912,0.0575,0.174,0.0,0.24,0.627,146.924,5,-1.3945372338820257,0.5832625074693506,0.6166454616082027,-0.4308284907532911,0.6701719764724714,0.8346971340904976,-0.4537460711928601,0.04929328391597851
1139,1140,Myself,NAV,2zQNWn8dWZytgxS68YZXuH,spotify:track:2zQNWn8dWZytgxS68YZXuH,3.77,0,0.504,0.393,5,-7.61,0.324,0.667,0.0,0.115,0.0813,79.989,4,2.1885296853727922,-0.06401668030073253,1.01173336272745,0.09785835640855921,0.7862740718042862,-1.7483421819988956,-1.354218491012334,-0.39078513878114846
1140,1141,Call Me,NAV,6vLrN5q3FiQQGQ6LtHmadx,spotify:track:6vLrN5q3FiQQGQ6LtHmadx,3.58,0,0.672,0.39,9,-8.552,0.111,0.444,0.00166,0.124,0.134,170.086,4,1.622642342627688,-0.36656682786748307,0.999979492290098,-0.6877058771638619,-0.16137888031158368,1.1549789419369614,-1.4781931339964032,-0.5827666413608052
1141,1142,Kelly Price,Third World Don,3tXq1fYgu5fwm7vaP894rA,spotify:track:3tXq1fYgu5fwm7vaP894rA,3.72,0,0.89,0.686,0,-3.195,0.125,0.0298,0.0155,0.0817,0.156,139.957,7,-1.2144051969826362,-0.051915337500229024,0.993451142321093,-1.9847601673872473,-0.7023027895074794,-1.0876306195239849,-0.04229909040995812,-1.0543670956722635
1142,1143,She Likes Me (feat. KC The Plug),Lynchparty,6VDtQcYBQViEZXCMBfazuy,spotify:track:6VDtQcYBQViEZXCMBfazuy,3.41,30,0.72,0.336,0,-9.45,0.0839,0.0246,0.00169,0.104,0.475,139.954,6,0.7606054613154967,0.3709841726279125,0.037048209975224324,-1.1709673982691957,-1.208587641809694,-0.5248397222866765,0.3327763799940199,-0.22988201017403045
